"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/17/2021","ATM WITHDRAWAL 008278 08/1713425 NE","ATM WITHDRAWAL","200.00","debit","Cash & ATM","TOTAL CHECKING","",""
"8/17/2021","Online Transfer 12298106175 to A mex High Yield Savings Acct ########5387 transaction #: 12298106175","Online Transfer 12298106175 to A","100.00","debit","Transfer","TOTAL CHECKING","",""
"8/17/2021","ATM CASH DEPOSIT 08/17 13425 NE 175TH ST WOODINVILLE WA","ATM CASH DEPOSIT 08/17 13425 NE","1400.00","credit","Income","TOTAL CHECKING","",""
"8/16/2021","Amazon","AMZN Mktp US*2D53P6VE1","40.21","debit","Shopping","CREDIT CARD","",""
"8/16/2021","Amazon","AMZN Mktp US*2D21A81D0","23.90","debit","Shopping","CREDIT CARD","",""
"8/16/2021","Amazon","Amazon Tips*2P2CJ6YA2","5.00","debit","Shopping","CREDIT CARD","",""
"8/16/2021","Amazon","AMZN Mktp US*2D8TW8VQ1","4.33","debit","Shopping","CREDIT CARD","",""
"8/16/2021","Audible.com","Audible*2D58R7AV0","13.03","debit","Books","CREDIT CARD","",""
"8/16/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","2000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/16/2021","CITI CARD ONLINE PAYMENT 4205 10327129262 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4205","1500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/16/2021","PayPal","PAYPAL           INST XFER  GOOG","1.09","debit","Shopping","TOTAL CHECKING","",""
"8/16/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"8/16/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"8/15/2021","Amazon","AMZN Mktp US*2P8QQ9I32","73.88","debit","Shopping","CREDIT CARD","",""
"8/15/2021","Amazon","Amazon.com*2D4ZQ2G11","63.25","debit","Shopping","CREDIT CARD","",""
"8/15/2021","Amazon","AMZN Mktp US*2P8S719S2","45.60","debit","Shopping","CREDIT CARD","",""
"8/15/2021","Amazon","AMZN Mktp US*2D2YW7XJ1","14.12","debit","Shopping","CREDIT CARD","",""
"8/15/2021","Amazon","Amazon.com*2D68G23M0","14.66","debit","Shopping","CREDIT CARD","",""
"8/15/2021","Amazon","AMZN Mktp US*2D30L1TE0","19.56","debit","Shopping","CREDIT CARD","",""
"8/13/2021","Amazon","AMZN Mktp US*2P41797V2","46.73","debit","Shopping","CREDIT CARD","",""
"8/13/2021","Amazon","AMZN Mktp US*2P0NO7KG2","45.63","debit","Shopping","CREDIT CARD","",""
"8/13/2021","Amazon","Amazon.com*2P7KU3SJ2","9.76","debit","Shopping","CREDIT CARD","",""
"8/13/2021","Amazon","AMZN Mktp US*2P2RX57P2","11.95","debit","Shopping","CREDIT CARD","",""
"8/13/2021","Amazon","Amazon.com*2P3NP3KC2","201.14","debit","Shopping","CREDIT CARD","",""
"8/13/2021","100-SFDC INC. PAYROLL PPD ID: 8359988345","100-SFDC INC.    PAYROLL","5990.44","credit","Paycheck","TOTAL CHECKING","",""
"8/13/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"8/12/2021","Amazon","Amazon Tips*2P19U1DG2","5.00","debit","Shopping","CREDIT CARD","",""
"8/12/2021","Woot Llc","AMZ*Woot LLC","78.25","credit","Credit Card Payment","CREDIT CARD","",""
"8/12/2021","Woot LLC","AMZ*Woot LLC","29.34","debit","Clothing","CREDIT CARD","",""
"8/12/2021","American Express","AMERICAN EXPRESS ACH PMT    W576","504.08","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/11/2021","Amazon","AMZN Mktp US","82.56","credit","Shopping","CREDIT CARD","",""
"8/11/2021","Amazon","Amazon.com*2P1ZF58Q2","35.70","debit","Shopping","CREDIT CARD","",""
"8/11/2021","Amazon","AMZN Mktp US*2P4BH4QX2","21.66","debit","Shopping","CREDIT CARD","",""
"8/11/2021","TJX","TJX Rewards MC   TJX EPAY   4507","33.02","debit","Clothing","TOTAL CHECKING","",""
"8/11/2021","EBATES CC EBT EPAY 4507 93430 WEB ID: 9130142001","EBATES CC        EBT EPAY   4507","341.63","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/09/2021","Amazon","Amazon.com*2P02259N0","14.78","debit","Shopping","CREDIT CARD","",""
"8/09/2021","Amazon Music","Amazon Music*2P7W57YW1","4.34","debit","Music","CREDIT CARD","",""
"8/09/2021","Chase card ending in 7738 08/09","Payment to Chase card ending in","1000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/09/2021","CENTRAL LOAN ADM 1 TIME DFT 0160 381182 WEB ID: 9DFT4","CENTRAL LOAN ADM 1 TIME DFT 0160","65000.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/09/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"8/08/2021","Amazon","AMZN Mktp US*2P7FF89W1","83.56","debit","Shopping","CREDIT CARD","",""
"8/08/2021","Payment Thank You - Web","Payment Thank You - Web","1000.00","credit","Credit Card Payment","CREDIT CARD","",""
"8/08/2021","Amazon","AMZN Mktp US*2P7V95US1","152.17","debit","Shopping","CREDIT CARD","",""
"8/06/2021","CITI CARD ONLINE PAYMENT 4305 03401766927 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4305","600.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/06/2021","CENTRAL LOAN ADM 1 TIME DFT 0160 381182 WEB ID: 9DFT4","CENTRAL LOAN ADM 1 TIME DFT 0160","100000.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/05/2021","Amazon","Amazon Tips*2P7B81HF0","5.00","debit","Shopping","CREDIT CARD","",""
"8/05/2021","American Express","AMERICAN EXPRESS ACH PMT    W135","400.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/04/2021","Amazon","Amazon.com*2P7CF9VI0","55.84","debit","Shopping","CREDIT CARD","",""
"8/04/2021","Amazon","AMZN Mktp US*2P8WM88S1","59.75","debit","Shopping","CREDIT CARD","",""
"8/04/2021","Amazon","AMZN Mktp US*2P91V9QJ1","45.03","debit","Shopping","CREDIT CARD","",""
"8/04/2021","CENTRAL LOAN ADM 1 TIME DFT 0160 381182 WEB ID: 9DFT4","CENTRAL LOAN ADM 1 TIME DFT 0160","1070.22","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/03/2021","Amazon","Amazon.com*2P5R020V0","72.84","debit","Shopping","CREDIT CARD","",""
"8/03/2021","Amazon","Amazon.com*2P4XP21X0","6.84","debit","Shopping","CREDIT CARD","",""
"8/03/2021","CENTRAL LOAN ADM 1 TIME DFT 0160 381182 WEB ID: 9DFT4","CENTRAL LOAN ADM 1 TIME DFT 0160","95000.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/03/2021","Amazon","PAYMENT FOR AMZ  STORECARD  4428","3.93","debit","Shopping","TOTAL CHECKING","",""
"8/03/2021","CARDMEMBER SERV WEB payment **** *******7538 WEB ID: 5911111111","CARDMEMBER SERV  WEB PYMT   ****","1300.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/03/2021","BEAR CREEK HEIGH Assn Dues 2518 5344 WEB ID: HOAPAYMENT","BEAR CREEK HEIGH Assn Dues  2518","75.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/02/2021","Amazon","AMZN Mktp US*2P5VZ24I2","82.56","debit","Shopping","CREDIT CARD","",""
"8/02/2021","Amazon","Amazon.com*2P8FW7LM2","9.66","debit","Shopping","CREDIT CARD","",""
"8/02/2021","CITI CARD ONLINE PAYMENT 4304 99289975809 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4304","1500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/02/2021","CORNERSTONE LOAN PAYMT 0166 363754 WEB ID: 9DRAFTING","CORNERSTONE      LOAN PAYMT 0166","4091.58","debit","Mortgage & Rent","TOTAL CHECKING","",""
"8/02/2021","Online Transfer 12178101820 to A mex High Yield Savings Acct ########5387 transaction #: 12178101820","Online Transfer 12178101820 to A","100.00","debit","Transfer","TOTAL CHECKING","",""
"8/02/2021","Chase card ending in 7738 08/02","Payment to Chase card ending in","1200.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/02/2021","PayPal","PAYPAL           INST XFER  GOOG","8.80","debit","Shopping","TOTAL CHECKING","",""
"8/01/2021","Amazon","Amazon.com*2P2471ZV0","52.99","debit","Shopping","CREDIT CARD","",""
"8/01/2021","Audible.com","Audible*2P0I46GE1","8.64","debit","Books","CREDIT CARD","",""
"8/01/2021","Amazon","Amazon Tips*2P9GY0J10","5.00","debit","Shopping","CREDIT CARD","",""
"8/01/2021","Payment Thank You - Web","Payment Thank You - Web","1200.00","credit","Credit Card Payment","CREDIT CARD","",""
"7/30/2021","Amazon","Amazon.com*2E2504UD2","9.87","debit","Shopping","CREDIT CARD","",""
"7/30/2021","Amazon","Amazon.com*2P98Q0FR0","20.19","debit","Shopping","CREDIT CARD","",""
"7/30/2021","100-SFDC INC. PAYROLL PPD ID: 8359988345","100-SFDC INC.    PAYROLL","5990.45","credit","Paycheck","TOTAL CHECKING","",""
"7/28/2021","Prime Video*2P59E43R1","Prime Video*2P59E43R1","3.25","debit","Movies & DVDs","CREDIT CARD","",""
"7/28/2021","DOMESTIC INCOMING WIRE FEE","DOMESTIC INCOMING WIRE FEE","15.00","debit","Fees & Charges","TOTAL CHECKING","",""
"7/28/2021","Fedwire Via First","FEDWIRE CREDIT VIA: FIRST AMERIC","203193.63","credit","Income","TOTAL CHECKING","",""
"7/27/2021","Woot LLC","AMZ*Woot LLC","78.25","debit","Clothing","CREDIT CARD","",""
"7/26/2021","Amazon","Amazon.com*2P4B87FR1","29.39","debit","Shopping","CREDIT CARD","",""
"7/26/2021","Amazon","AMZN Mktp US*2E3Z84KK0","66.28","debit","Shopping","CREDIT CARD","",""
"7/26/2021","Amazon","AMZN Mktp US*2E7AX1BB2","186.97","debit","Shopping","CREDIT CARD","",""
"7/26/2021","Amazon","Amazon.com*2P9L934P1","12.58","debit","Shopping","CREDIT CARD","",""
"7/26/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"7/25/2021","Amazon","AMZN Mktp US*2E8NB35H2","13.99","debit","Shopping","CREDIT CARD","",""
"7/25/2021","Amazon","AMZN Mktp US*2P6O15OO1","26.66","debit","Shopping","CREDIT CARD","",""
"7/23/2021","Amazon","AMZN Mktp US*2E6Q295M0","11.84","debit","Shopping","CREDIT CARD","",""
"7/23/2021","Amazon","AMZN Mktp US*2E45Z8IC1","14.12","debit","Shopping","CREDIT CARD","",""
"7/23/2021","Amazon","Amazon.com*2E4WH9HD0","14.90","debit","Shopping","CREDIT CARD","",""
"7/22/2021","Amazon","AMZN Mktp US*2E6156EE2","11.96","debit","Shopping","CREDIT CARD","",""
"7/22/2021","Amazon","AMZN Mktp US*2E1F53K41","16.79","debit","Shopping","CREDIT CARD","",""
"7/21/2021","Amazon","Amazon.com*2E9PX8JI2","59.94","debit","Shopping","CREDIT CARD","",""
"7/20/2021","CITI CARD ONLINE PAYMENT 4304 88693335435 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4304","700.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/20/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","4000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/20/2021","TJX","TJX Rewards MC   TJX EPAY   4305","262.99","debit","Clothing","TOTAL CHECKING","",""
"7/19/2021","Amazon","AMZN Mktp US*2E7LE5L92","52.95","debit","Shopping","CREDIT CARD","",""
"7/19/2021","ATM WITHDRAWAL 000504 07/1813425 NE","ATM WITHDRAWAL","250.00","debit","Cash & ATM","TOTAL CHECKING","",""
"7/19/2021","PayPal","PAYPAL           INST XFER  GOOG","5.49","debit","Shopping","TOTAL CHECKING","",""
"7/19/2021","PayPal","PAYPAL           INST XFER  VEND","47.60","debit","Shopping","TOTAL CHECKING","",""
"7/19/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"7/19/2021","ATM WITHDRAWAL 000731 07/1721045 BOT","ATM WITHDRAWAL","200.00","debit","Cash & ATM","TOTAL CHECKING","",""
"7/18/2021","Amazon","Amazon.com*2E1PF2HO1","29.09","debit","Shopping","CREDIT CARD","",""
"7/18/2021","Amazon","Amazon.com*290O99YP2","49.78","debit","Shopping","CREDIT CARD","",""
"7/16/2021","Amazon","Amazon.com*2E6NO94I0","18.25","debit","Shopping","CREDIT CARD","",""
"7/16/2021","Amazon","AMZN Mktp US*2E8JI8GL1","24.95","debit","Shopping","CREDIT CARD","",""
"7/15/2021","100-SFDC INC. PAYROLL PPD ID: 8359988345","100-SFDC INC.    PAYROLL","5990.44","credit","Paycheck","TOTAL CHECKING","",""
"7/15/2021","Online Transfer 12075672778 to A mex High Yield Savings Acct ########5387 transaction #: 12075672778","Online Transfer 12075672778 to A","100.00","debit","Transfer","TOTAL CHECKING","",""
"7/14/2021","Amazon","AMZN Mktp US*2E7TI2TP1","22.16","debit","Shopping","CREDIT CARD","",""
"7/14/2021","American Express","AMERICAN EXPRESS ACH PMT    W228","900.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/13/2021","ATM WITHDRAWAL 009201 07/1312028 NE","ATM WITHDRAWAL","50.00","debit","Cash & ATM","TOTAL CHECKING","",""
"7/12/2021","Amazon","AMZN Mktp US*294CO8BH2","64.12","debit","Shopping","CREDIT CARD","",""
"7/12/2021","EBATES CC EBT EPAY 4240 07951 WEB ID: 9130142001","EBATES CC        EBT EPAY   4240","171.67","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/11/2021","Amazon","Amazon Tips*2955F8M02","5.00","debit","Shopping","CREDIT CARD","",""
"7/11/2021","Amazon","AMZN Mktp US*291FB92B0","7.60","debit","Shopping","CREDIT CARD","",""
"7/11/2021","Amazon","AMZN Mktp US*290FW72S0","75.31","debit","Shopping","CREDIT CARD","",""
"7/09/2021","Amazon","Amazon.com*2976T0GW2","45.60","debit","Shopping","CREDIT CARD","",""
"7/09/2021","Amazon Music","Amazon Music*2921Q2G82","4.34","debit","Music","CREDIT CARD","",""
"7/09/2021","Amazon","Amazon.com*294156WZ1","6.99","debit","Shopping","CREDIT CARD","",""
"7/08/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","4000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/07/2021","Amazon","AMZN Mktp US*292AD27D1","26.94","debit","Shopping","CREDIT CARD","",""
"7/07/2021","Amazon","AMZN Mktp US*2966N2TS2","619.58","debit","Shopping","CREDIT CARD","",""
"7/07/2021","Payment Thank You - Web","Payment Thank You - Web","900.00","credit","Credit Card Payment","CREDIT CARD","",""
"7/07/2021","Amazon","AMZN Mktp US*294TA7AB2","163.04","debit","Shopping","CREDIT CARD","",""
"7/07/2021","CARDMEMBER SERV WEB payment **** *******7538 WEB ID: 5911111111","CARDMEMBER SERV  WEB PYMT   ****","1500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/07/2021","TOUCHNET WEB payment PPD ID: 3430653369","TOUCHNET         WEB PYMT","5571.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"7/07/2021","Chase card ending in 7738 07/07","Payment to Chase card ending in","900.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/06/2021","TJX","TJX Rewards MC   TJX EPAY   4165","260.23","debit","Clothing","TOTAL CHECKING","",""
"7/06/2021","DOMESTIC INCOMING WIRE FEE","DOMESTIC INCOMING WIRE FEE","15.00","debit","Fees & Charges","TOTAL CHECKING","",""
"7/06/2021","Chips Via Citibank","CHIPS CREDIT VIA: CITIBANK N.A./","4100.00","credit","Income","TOTAL CHECKING","",""
"7/06/2021","CORNERSTONE 1 TIME DFT 0166 363754 WEB ID: 9DFT4","CORNERSTONE      1 TIME DFT 0166","4091.58","debit","Mortgage & Rent","TOTAL CHECKING","",""
"7/06/2021","CENTRAL LOAN ADM LOAN PAYMT 0160 381182 WEB ID: 9DRAFTING","CENTRAL LOAN ADM LOAN PAYMT 0160","590.46","debit","Mortgage & Rent","TOTAL CHECKING","",""
"7/05/2021","Amazon","Amazon.com*294RL6LD2","11.35","debit","Shopping","CREDIT CARD","",""
"7/04/2021","Amazon","Amazon.com*2953D4OR2","184.78","debit","Shopping","CREDIT CARD","",""
"7/04/2021","Amazon","Amazon.com*299NQ2NV0","17.38","debit","Shopping","CREDIT CARD","",""
"7/04/2021","Woot Llc","AMZ*Woot LLC","15.20","credit","Credit Card Payment","CREDIT CARD","",""
"7/02/2021","Amazon","AMZN Mktp US*2947004T0","77.17","debit","Shopping","CREDIT CARD","",""
"7/02/2021","BEAR CREEK HEIGH Assn Dues 2469 7973 WEB ID: HOAPAYMENT","BEAR CREEK HEIGH Assn Dues  2469","75.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"7/02/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","3000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/01/2021","Audible.com","Audible*215PQ1IW2","8.64","debit","Books","CREDIT CARD","",""
"7/01/2021","Payment Thank You - Web","Payment Thank You - Web","500.00","credit","Credit Card Payment","CREDIT CARD","",""
"7/01/2021","Amazon","AMZN Mktp US*215NV2UN2","14.90","debit","Shopping","CREDIT CARD","",""
"7/01/2021","Amazon","AMZN Mktp US*2136P0U32","9.42","debit","Shopping","CREDIT CARD","",""
"7/01/2021","Chase card ending in 7738 07/01","Payment to Chase card ending in","500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/01/2021","DOVENMUEHLE MTG MORTG payment 1474 495536 WEB ID: 1362435132","DOVENMUEHLE MTG  MORTG PYMT 1474","3000.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"6/30/2021","Amazon","Amazon.com*218B85Y40","9.55","debit","Shopping","CREDIT CARD","",""
"6/30/2021","Amazon","Amazon.com*2986P5PG1","16.31","debit","Shopping","CREDIT CARD","",""
"6/30/2021","Amazon","Amazon.com*211BO9YS0","9.87","debit","Shopping","CREDIT CARD","",""
"6/30/2021","Amazon","Amazon.com*215BZ3YW0","51.62","debit","Shopping","CREDIT CARD","",""
"6/30/2021","TransferWise Inc TrnWise 1591 9655 WEB ID: 9453233521","TransferWise Inc TrnWise    1591","202.33","debit","Transfer","TOTAL CHECKING","",""
"6/30/2021","Online Transfer 11987551114 to A mex High Yield Savings Acct ########5387 transaction #: 11987551114","Online Transfer 11987551114 to A","100.00","debit","Transfer","TOTAL CHECKING","",""
"6/30/2021","100-SFDC INC. PAYROLL PPD ID: 8359988345","100-SFDC INC.    PAYROLL","6136.29","credit","Paycheck","TOTAL CHECKING","",""
